location,total_deaths
Afghanistan,7998
Albania,3605
Algeria,6881
Andorra,159
Angola,1937
Anguilla,12
Antigua and Barbuda,146
Argentina,130860
Armenia,8777
Aruba,292
Australia,25779
Austria,22534
Azerbaijan,10353
Bahamas,844
Bahrain,1536
Bangladesh,29494
Barbados,593
Belarus,7118
Belgium,34339
Belize,688
Benin,163
Bermuda,165
Bhutan,21
Bolivia,22387
Bonaire Sint Eustatius and Saba,41
Bosnia and Herzegovina,16388
Botswana,2801
Brazil,702116
British Virgin Islands,64
Brunei,178
Bulgaria,38700
Burkina Faso,400
Burundi,15
Cambodia,3056
Cameroon,1974
Canada,55056
Cape Verde,417
Cayman Islands,37
Central African Republic,113
Chad,194
Chile,64482
China,122196
Colombia,142727
Comoros,160
Congo,389
Cook Islands,2
Costa Rica,9368
Cote d'Ivoire,835
Croatia,18752
Cuba,8530
Curacao,305
Cyprus,1442
Czechia,43503
Democratic Republic of Congo,1470
Denmark,9667
Djibouti,189
Dominica,74
Dominican Republic,4384
Ecuador,36048
Egypt,24830
El Salvador,4230
England,
Equatorial Guinea,183
Eritrea,103
Estonia,2998
Eswatini,1427
Ethiopia,7574
European Union,1261419
Faeroe Islands,28
Falkland Islands,
Fiji,885
Finland,11466
France,168091
French Guiana,413
French Polynesia,650
Gabon,307
Gambia,372
Georgia,17150
Germany,174979
Ghana,1462
Gibraltar,113
Greece,39011
Greenland,21
Grenada,238
Guadeloupe,1021
Guam,419
Guatemala,20216
Guernsey,67
Guinea,468
Guinea-Bissau,177
Guyana,1301
Haiti,860
Honduras,11114
Hong Kong,
Hungary,49051
Iceland,186
India,533599
Indonesia,162058
Iran,146837
Iraq,25375
Ireland,9608
Isle of Man,116
Israel,12707
Italy,197017
Jamaica,3600
Japan,74694
Jersey,161
Jordan,14122
Kazakhstan,19072
Kenya,5689
Kiribati,24
Kosovo,3212
Kuwait,2570
Kyrgyzstan,1024
Laos,671
Latvia,7475
Lebanon,10947
Lesotho,709
Liberia,294
Libya,6437
Liechtenstein,89
Lithuania,9805
Luxembourg,1000
Macao,
Madagascar,1427
Malawi,2686
Malaysia,37350
Maldives,316
Mali,743
Malta,906
Marshall Islands,17
Martinique,1104
Mauritania,997
Mauritius,1070
Mayotte,187
Mexico,335011
Micronesia (country),65
Moldova,12237
Monaco,67
Mongolia,2136
Montenegro,2654
Montserrat,8
Morocco,16305
Mozambique,2252
Myanmar,19494
Namibia,4108
Nauru,1
Nepal,12031
Netherlands,22986
New Caledonia,314
New Zealand,3995
Nicaragua,245
Niger,315
Nigeria,3155
Niue,
North Korea,
North Macedonia,9977
Northern Cyprus,
Northern Ireland,
Northern Mariana Islands,41
Norway,5732
Oceania,33172
Oman,4628
Pakistan,30656
Palau,10
Palestine,5708
Panama,8706
Papua New Guinea,670
Paraguay,19880
Peru,220831
Philippines,66864
Pitcairn,
Poland,120711
Portugal,28156
Puerto Rico,5938
Qatar,690
Reunion,921
Romania,68802
Russia,402870
Rwanda,1468
Saint Barthelemy,5
Saint Helena,
Saint Kitts and Nevis,46
Saint Lucia,410
Saint Martin (French part),46
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,124
Samoa,31
San Marino,126
Sao Tome and Principe,80
Saudi Arabia,9646
Scotland,
Senegal,1971
Serbia,18057
Seychelles,172
Sierra Leone,126
Singapore,2024
Sint Maarten (Dutch part),92
Slovakia,21226
Slovenia,10056
Solomon Islands,199
Somalia,1361
South Africa,102595
South Korea,35934
South Sudan,147
Spain,121852
Sri Lanka,16901
Sudan,5046
Suriname,1405
Sweden,27286
Switzerland,14188
Syria,3163
Taiwan,
Tajikistan,125
Tanzania,846
Thailand,34625
Timor,138
Togo,290
Tokelau,
Tonga,12
Trinidad and Tobago,4390
Tunisia,29423
Turkey,101419
Turkmenistan,
Turks and Caicos Islands,40
Tuvalu,1
Uganda,3632
Ukraine,109920
United Arab Emirates,2349
United Kingdom,232112
United States,1187125
United States Virgin Islands,132
Uruguay,7625
Uzbekistan,1016
Vanuatu,14
Vatican,
Venezuela,5856
Vietnam,43206
Wales,
Wallis and Futuna,9
Western Sahara,
Yemen,2159
Zambia,4069
Zimbabwe,5740
