location,population,Max_cases,InfectedPopulation_Percentage
Cyprus,896007,691216,77.1
Brunei,449002,344145,76.6
San Marino,33690,25292,75.1
Austria,8939617,6082347,68.0
South Korea,51815808,34571873,66.7
Faeroe Islands,53117,34658,65.2
Slovenia,2119843,1355900,64.0
Gibraltar,32677,20550,62.9
Martinique,367512,230354,62.7
Luxembourg,647601,391389,60.4
Andorra,79843,48015,60.1
Jersey,110796,66391,59.9
Denmark,5882259,3435018,58.4
Saint Pierre and Miquelon,5885,3426,58.2
France,67813000,38997490,57.5
Iceland,372903,209945,56.3
Guernsey,63329,35326,55.8
Niue,1952,1074,55.0
Portugal,10270857,5643747,54.9
Liechtenstein,39355,21576,54.8
Greece,10384972,5633940,54.3
Singapore,5637022,3006155,53.3
Latvia,1850654,977765,52.8
Guadeloupe,395762,203235,51.4
Israel,9449000,4841558,51.2
Switzerland,8740471,4453795,51.0
Reunion,974062,494595,50.8
Falkland Islands,3801,1923,50.6
Saint Barthelemy,10994,5507,50.1
New Zealand,5185289,2589531,49.9
Georgia,3744385,1862754,49.7
Lithuania,2750058,1366346,49.7
Netherlands,17564020,8636310,49.2
Seychelles,107135,51694,48.3
Bahrain,1472237,696614,47.3
Monaco,36491,17181,47.1
Germany,83369840,38437756,46.1
Estonia,1326064,610391,46.0
Cayman Islands,68722,31472,45.8
Czechia,10493990,4759354,45.4
Australia,26177410,11853158,45.3
Italy,59037472,26722507,45.3
Isle of Man,84534,38008,45.0
Bonaire Sint Eustatius and Saba,27052,11922,44.1
Cook Islands,17032,7326,43.0
Nauru,12691,5393,42.5
Belgium,11655923,4861861,41.7
Aruba,106459,44224,41.5
European Union,450146793,185639022,41.2
Saint Helena,5401,2166,40.1
Montenegro,627082,251280,40.1
Barbados,281646,110653,39.3
Marshall Islands,41593,16178,38.9
Saint Martin (French part),31816,12324,38.7
Puerto Rico,3252412,1252713,38.5
Serbia,6871547,2583470,37.6
United Kingdom,67508936,24927820,36.9
Maldives,523798,186694,35.6
Palau,18084,6332,35.0
Ireland,5023108,1736342,34.6
Slovakia,5643455,1877746,33.3
Oceania,45038860,14940105,33.2
Croatia,4030361,1317020,32.7
Wallis and Futuna,11596,3760,32.4
French Guiana,304568,98041,32.2
Montserrat,4413,1403,31.8
United States,338289856,103436829,30.6
Guam,171783,52287,30.4
Uruguay,3422796,1037893,30.3
Mongolia,3398373,1011475,29.8
Northern Mariana Islands,49574,14684,29.6
Spain,47558632,13980340,29.4
Bermuda,64207,18860,29.4
Norway,5434324,1507675,27.7
New Caledonia,289959,80163,27.6
Chile,19603736,5400166,27.5
Japan,123951696,33803572,27.3
Finland,5540745,1499712,27.1
Sweden,10549349,2751918,26.1
Tuvalu,11335,2943,26.0
French Polynesia,306292,79302,25.9
United States Virgin Islands,99479,25389,25.5
Mauritius,1299478,327305,25.2
Sint Maarten (Dutch part),44192,11051,25.0
Anguilla,15877,3904,24.6
Curacao,191173,45883,24.0
Costa Rica,5180836,1230653,23.8
Panama,4408582,1044357,23.7
British Virgin Islands,31332,7420,23.7
Micronesia (country),114178,26547,23.3
Malta,533293,121437,22.8
Lebanon,5489744,1239904,22.6
Hungary,9967304,2230396,22.4
Argentina,45510324,10131870,22.3
Dominica,72758,16047,22.1
Greenland,56494,11971,21.2
Turkey,85341248,17004714,19.9
Bulgaria,6781955,1329289,19.6
Moldova,3272993,635651,19.4
Qatar,2695131,514524,19.1
Romania,19659270,3528753,17.9
Belize,405285,71409,17.6
Brazil,215313504,37519960,17.4
Saint Lucia,179872,30252,16.8
North Macedonia,2093606,350591,16.7
Poland,39857144,6662732,16.7
Russia,144713312,24169359,16.7
Armenia,2780472,451831,16.3
Tonga,106867,16958,15.9
Grenada,125459,19693,15.7
Kuwait,4268886,667290,15.6
Malaysia,33938216,5281323,15.6
Jordan,11285875,1746997,15.5
Kosovo,1782115,274279,15.4
Turks and Caicos Islands,45726,6754,14.8
Ukraine,39701744,5531611,13.9
Saint Kitts and Nevis,47681,6607,13.9
Palestine,5250076,703228,13.4
Suriname,618046,82496,13.3
Peru,34049588,4524748,13.3
Mayotte,326113,42027,12.9
Botswana,2630300,330650,12.6
Trinidad and Tobago,1531043,191496,12.5
Canada,38454328,4808989,12.5
Bosnia and Herzegovina,3233530,403642,12.5
Colombia,51874028,6385410,12.3
Vietnam,98186856,11624000,11.8
Albania,2842318,334863,11.8
United Arab Emirates,9441138,1067030,11.3
Cape Verde,593162,64474,10.9
Paraguay,6780745,735759,10.9
Belarus,9534956,994037,10.4
Cuba,11212198,1113662,9.9
Bolivia,12224114,1212131,9.9
Antigua and Barbuda,93772,9106,9.7
Tunisia,12356116,1153361,9.3
Saint Vincent and the Grenadines,103959,9674,9.3
Bahamas,409989,38084,9.3
Guyana,808727,74126,9.2
